name	version	primary_reachability	reachable_in_roots	immediate_forcers	workspace_roots	release_roots	closure_edges	closure_basis	decision	constraint_assessment	revisit_condition
thiserror-impl	1.0.69	release-build	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	thiserror@1.0.69	sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-loop,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	65	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
thiserror-impl	2.0.18	release-build	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	thiserror@2.0.18	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	202	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
toml	0.9.12+spec-1.1.0	release-normal	sentinel-daemon	wasmtime-internal-cache@45.0.3	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	14	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
toml	1.0.6+spec-1.1.0	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	sentinel-common@0.1.0,sentinel-daemon@0.1.0,sentinel-dashboard-backend@0.1.0,sentinel-ecs@0.1.0,sentinel-gaia@0.1.0,sentinel-nightrun@0.1.0	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	75	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
toml_datetime	0.6.3	release-build	sentinel-daemon	proc-macro-crate@2.0.2,toml_edit@0.20.2	sentinel-bio,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia-memory,sentinel-microvm,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-projection-service	50	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
toml_datetime	0.7.5+spec-1.1.0	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	toml@0.9.12+spec-1.1.0,toml_edit@0.23.10+spec-1.0.0	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	90	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
toml_datetime	1.0.0+spec-1.1.0	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	toml@1.0.6+spec-1.1.0	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	76	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
toml_edit	0.20.2	release-build	sentinel-daemon	proc-macro-crate@2.0.2	sentinel-bio,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia-memory,sentinel-microvm,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-projection-service	48	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
toml_edit	0.23.10+spec-1.0.0	release-build	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	bevy_macro_utils@0.18.0	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	79	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
wasm-encoder	0.244.0	optional-disabled		wasm-metadata@0.244.0,wit-component@0.244.0	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	392	disabled-metadata	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
wasm-encoder	0.248.0	release-normal	sentinel-daemon	wasm-compose@0.248.0,wasmtime-environ@45.0.3,wasmtime@45.0.3	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	30	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
wasm-encoder	0.250.0	release-normal	sentinel-daemon	wast@250.0.0	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	17	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
wasmparser	0.244.0	optional-disabled		wasm-encoder@0.244.0,wasm-metadata@0.244.0,wit-component@0.244.0,wit-parser@0.244.0	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	400	disabled-metadata	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
wasmparser	0.248.0	release-normal	sentinel-daemon	wasm-compose@0.248.0,wasm-encoder@0.248.0,wasmprinter@0.248.0,wasmtime-environ@45.0.3,wasmtime-internal-cranelift@45.0.3,wasmtime@45.0.3,wit-parser@0.248.0	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	42	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
wasmparser	0.250.0	optional-disabled		wasm-encoder@0.250.0	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	18	disabled-metadata	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
wast	250.0.0	release-normal	sentinel-daemon	wat@1.250.0	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	16	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
wast	35.0.2	release-build	sentinel-daemon	witx@0.9.1	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	11	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
webpki-roots	0.26.11	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	tokio-websockets@0.10.1	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	6	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
webpki-roots	1.0.6	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	hyper-rustls@0.27.7,reqwest@0.12.28,webpki-roots@0.26.11,zenoh-link-commons@1.7.2,zenoh-link-quic@1.7.2,zenoh-link-tls@1.7.2	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-sandbox,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	40	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
windows-sys	0.45.0	target-only		jni@0.21.1	sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend	35	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows-sys	0.52.0	target-only		ring@0.17.14,socket2@0.5.10	sentinel-cluster-control,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-sandbox,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	89	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows-sys	0.59.0	target-only		cap-fs-ext@3.4.5,cap-primitives@3.4.5,console@0.15.11,fs-set-times@0.20.3,io-extras@0.18.4,quinn-udp@0.5.14,winx@0.36.4	sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-memory,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-projection-service	71	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows-sys	0.61.2	target-only		anstyle-query@1.1.5,anstyle-wincon@3.0.11,dirs-sys@0.5.0,errno@0.3.14,home@0.5.12,is-terminal@0.4.17,mio@1.2.1,nu-ansi-term@0.50.3,rustix@1.1.4,rustls-platform-verifier@0.6.2,schannel@0.1.28,socket2@0.6.4,tempfile@3.27.0,tokio@1.52.3,wasmtime-internal-cache@45.0.3,wasmtime-internal-fiber@45.0.3,wasmtime-internal-jit-icache-coherence@45.0.3,wasmtime-wasi@45.0.3,wasmtime@45.0.3,winapi-util@0.1.11,zenoh-link-udp@1.7.2	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	402	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows-targets	0.42.2	target-only		windows-sys@0.45.0	sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend	36	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows-targets	0.52.6	target-only		windows-sys@0.52.0,windows-sys@0.59.0	sentinel-cluster-control,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-projection-service	131	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows_aarch64_gnullvm	0.42.2	target-only		windows-targets@0.42.2	sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend	37	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows_aarch64_gnullvm	0.52.6	target-only		windows-targets@0.52.6	sentinel-cluster-control,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-projection-service	132	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows_aarch64_msvc	0.42.2	target-only		windows-targets@0.42.2	sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend	37	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows_aarch64_msvc	0.52.6	target-only		windows-targets@0.52.6	sentinel-cluster-control,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-projection-service	132	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows_i686_gnu	0.42.2	target-only		windows-targets@0.42.2	sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend	37	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows_i686_gnu	0.52.6	target-only		windows-targets@0.52.6	sentinel-cluster-control,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-projection-service	132	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows_i686_msvc	0.42.2	target-only		windows-targets@0.42.2	sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend	37	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows_i686_msvc	0.52.6	target-only		windows-targets@0.52.6	sentinel-cluster-control,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-projection-service	132	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows_x86_64_gnu	0.42.2	target-only		windows-targets@0.42.2	sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend	37	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows_x86_64_gnu	0.52.6	target-only		windows-targets@0.52.6	sentinel-cluster-control,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-projection-service	132	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows_x86_64_gnullvm	0.42.2	target-only		windows-targets@0.42.2	sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend	37	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows_x86_64_gnullvm	0.52.6	target-only		windows-targets@0.52.6	sentinel-cluster-control,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-projection-service	132	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows_x86_64_msvc	0.42.2	target-only		windows-targets@0.42.2	sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend	37	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
windows_x86_64_msvc	0.52.6	target-only		windows-targets@0.52.6	sentinel-cluster-control,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-projection-service	132	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
winnow	0.5.40	release-build	sentinel-daemon	toml_edit@0.20.2	sentinel-bio,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia-memory,sentinel-microvm,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-projection-service	49	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
winnow	0.7.14	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	toml@0.9.12+spec-1.1.0,toml@1.0.6+spec-1.1.0,toml_edit@0.23.10+spec-1.0.0,toml_parser@1.0.9+spec-1.1.0	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	101	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
wit-parser	0.244.0	optional-disabled		wit-bindgen-core@0.51.0,wit-component@0.244.0	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	392	disabled-metadata	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
wit-parser	0.248.0	release-build	sentinel-daemon	wasmtime-internal-component-macro@45.0.3,wasmtime-internal-wit-bindgen@45.0.3	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	16	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
x509-parser	0.17.0	release-normal	sentinel-dashboard-backend	wtransport@0.6.1	sentinel-dashboard-backend	sentinel-dashboard-backend	2	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
x509-parser	0.18.1	release-normal	sentinel-daemon	zenoh-link-commons@1.7.2,zenoh-link-tls@1.7.2	sentinel-daemon,sentinel-sandbox,sentinel-zenoh	sentinel-daemon	26	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
